State,District,dmi_human_development,rank_human_development,health_score,education_score,economic_score,infrastructure_score,social_score
Nagaland,Kiphire,81.02185536648221,1.0,0.24471580406654345,0.14746923244011156,0.18346382051426458,0.11108221591820004,0.2777777777777777
Nagaland,Tuensang,80.62295037405252,2.0,0.22238418555883746,0.1821974965229486,0.18346382051426458,0.11673282557502396,0.25948103792415167
Bihar,Purba Champaran,79.37347159784066,3.0,0.2824284451384025,0.14456881918706999,0.18346382051426458,0.1267295709033216,0.33247422680412375
Bihar,Araria,79.3448404275769,4.0,0.29002780260152916,0.14456881918706999,0.18346382051426458,0.10353437579221073,0.3313953488372093
Nagaland,Mon,78.83178825528448,5.0,0.29989376770538245,0.14746923244011156,0.18346382051426458,0.11108221591820004,0.3295454545454546
MADHYA PRADESH,Alirajpur,78.64270897688401,6.0,0.4856051872787274,0.025778300211254313,0.0909483497072451,0.037529664149004494,0.34386941477358207
Nagaland,Longleng,78.49293369904154,7.0,0.31249740437725826,0.14746923244011156,0.18346382051426458,0.11108221591820004,0.3090909090909091
Bihar,Jamui,78.41975951888584,8.0,0.32137980596478627,0.14456881918706999,0.18346382051426458,0.11508266055852237,0.2738509375
Bihar,Katihar,78.38335895861697,9.0,0.3204340837171752,0.14746923244011156,0.18346382051426458,0.11108221591820004,0.2754491017964072
Bihar,Purnia,78.30586088681846,10.0,0.32342394490035176,0.14456881918706999,0.18346382051426458,0.11108221591820004,0.29032258064516125
Bihar,Saharsa,77.92638067659563,11.0,0.33391434377164453,0.1409063060083771,0.18346382051426458,0.1267295709033216,0.2871287128712871
CHHATTISGARH,Bijapur,77.35322093026844,12.0,0.4856051872787274,0.08821077205269312,0.052457909241164946,0.005700478064647015,0.34386941477358207
Bihar,Madhepura,77.26581446221188,13.0,0.3456376287671782,0.14746923244011156,0.18346382051426458,0.10353437579221073,0.33762886597938147
Assam,Dhubri,77.2155491012353,14.0,0.34675381263616567,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2934782608695653
Bihar,Kishanganj,77.09752816064706,15.0,0.3626729090529017,0.14456881918706999,0.18346382051426458,0.11108221591820004,0.25724637681159424
Bihar,Sheikhpura,76.78466278596252,16.0,0.3102666924340515,0.20027816411682897,0.18346382051426458,0.1267295709033216,0.2654028436018957
Assam,Udalguri,76.259769942944,17.0,0.3710193743402016,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.31477516059957167
Bihar,Sheohar,76.15202080673257,18.0,0.3799442386747528,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2738509375
Bihar,Supaul,76.01516773566522,19.0,0.3856839265254832,0.1409063060083771,0.18346382051426458,0.11108221591820004,0.3382789317507418
CHHATTISGARH,Dakshin Bastar Dantewada,75.58048259970566,20.0,0.4856051872787274,0.1178922794730699,0.08228725873773218,0.034345010904753476,0.34386941477358207
MADHYA PRADESH,Jhabua,75.50616103657958,21.0,0.4856051872787274,0.09304652326163088,0.12887618364760695,0.058853926592586814,0.34386941477358207
Bihar,Darbhanga,75.41123772247758,22.0,0.39517368299976985,0.14171656686626755,0.18346382051426458,0.1267295709033216,0.3556701030927835
Bihar,Kaimur (Bhabua),75.22274192538804,23.0,0.3426929392446634,0.21696801112656472,0.18346382051426458,0.1267295709033216,0.233974358974359
Bihar,Lakhisarai,75.16732040058112,24.0,0.2825038002437046,0.2674650698602795,0.18346382051426458,0.1267295709033216,0.3129032258064516
Bihar,Samastipur,74.89745299507753,25.0,0.376665947035118,0.17524339360222535,0.18346382051426458,0.1267295709033216,0.3532934131736527
Gujarat,Panchmahal,74.89446056326923,26.0,0.34781292984869333,0.2016689847009736,0.18346382051426458,0.1267295709033216,0.3708838821490468
Assam,Chirang,74.8501194633721,27.0,0.39305050978553846,0.15551181102362205,0.18346382051426458,0.1267295709033216,0.3861892583120205
ARUNACHAL PRADESH,Kurung Kumey,74.63570217369178,28.0,0.4856051872787274,0.18325829581457398,0.01017764761208397,0.00820641299934952,0.34386941477358207
Gujarat,Banaskantha,74.60670792098074,29.0,0.43425343492573754,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.20274914089347074
Karnataka,Yadgir,74.57243764520933,30.0,0.43472222222222223,0.14456881918706999,0.18346382051426458,0.11366823340152091,0.2527472527472528
Bihar,Sitamarhi,74.55951524311911,31.0,0.4007825386474356,0.16666666666666674,0.18346382051426458,0.1267295709033216,0.3121019108280255
Bihar,Khagaria,74.55014633233061,32.0,0.3911175391562015,0.1684027777777778,0.18346382051426458,0.1267295709033216,0.36947791164658633
Assam,Darrang,74.48050419445708,33.0,0.3850805830328804,0.18915159944367183,0.18346382051426458,0.1267295709033216,0.28042328042328035
Assam,Nagaon,74.45926684568123,34.0,0.4217491369390104,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.31976744186046513
Assam,Goalpara,74.2836614413435,35.0,0.4342309368191722,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2675159235668789
Gujarat,Patan,74.26112858062379,36.0,0.4346297548877509,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2692307692307693
Bihar,Nalanda,74.24356567331967,37.0,0.34171894803548786,0.23552894211576858,0.18346382051426458,0.1267295709033216,0.30670103092783507
Bihar,Banka,74.08495434037657,38.0,0.35083629399604443,0.2295409181636726,0.18346382051426458,0.1193259420295266,0.33132530120481923
CHHATTISGARH,Narayanpur,74.04184891088535,39.0,0.4856051872787274,0.19559779889944973,0.021557261821572783,0.007334057168694881,0.34386941477358207
Bihar,Pashchim Champaran,74.02996412087568,40.0,0.40488406795224974,0.18055555555555558,0.18346382051426458,0.1267295709033216,0.29207920792079206
Gujarat,Surendranagar,73.92687057953357,41.0,0.44031347962382444,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2962962962962963
Bihar,Madhubani,73.92384056046566,42.0,0.4104484732824427,0.16338582677165356,0.18346382051426458,0.1193259420295266,0.40934844192634556
Nagaland,Peren,73.89003352785946,43.0,0.2876059671188811,0.30041724617524346,0.18346382051426458,0.1267295709033216,0.30198019801980197
Assam,West Karbi Anglong,73.87610927394358,44.0,0.44742118815803505,0.14746923244011156,0.18346382051426458,0.10546050145428718,0.29923273657289
Bihar,Nawada,73.82916938791327,45.0,0.2964371215321785,0.30118110236220474,0.18346382051426458,0.1267295709033216,0.24698795180722888
Assam,Hailakandi,73.82683488968003,46.0,0.4202779846115662,0.1585535465924896,0.18346382051426458,0.11108221591820004,0.41025641025641035
Telangana,Jogulamba Gadwal,73.79973333196399,47.0,0.44168276783618343,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.3121387283236995
Assam,Karimganj,73.70150165136475,48.0,0.4442434553274642,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.3138602520045819
Assam,South Salmara Mancachar,73.6390569311171,49.0,0.4443931683610123,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.32530120481927705
Assam,Biswanath,73.61829321062389,50.0,0.4360727739799833,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.38769670958512165
